Index,Id,Title,Year,Rated,Runtime,Director,Writer,Actors,Plot,imdbRating,imdbVotes
5219,7743,Explorers,1985,PG,109 min,Joe Dante,Eric Luke,"Ethan Hawke, River Phoenix, Jason Presson, Bradley Gregg","A boy obsessed with 50s sci-fi movies about aliens has a recurring dream about a blueprint of some kind, which he draws for his inventor friend. With the help of a third kid, they follow it and build themselves a spaceship. Now what?",6.6,16097
5220,7748,Pierrot le Fou,1965,NOT RATED,110 min,Jean-Luc Godard,Jean-Luc Godard,"Jean-Paul Belmondo, Anna Karina, Graziella Galvani","Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run.",7.7,22091
5221,7753,Tuesdays with Morrie,1999,N/A,89 min,Mick Jackson,"Thomas Rickman (teleplay), Mitch Albom (based on the book by)","Jack Lemmon, Hank Azaria, Wendy Moniz, Caroline Aaron","A journalist finds himself questioning his own life when his best friend, a dying man, offers him some very powerful wisdom and advice for coping in relationships, careers and society.",7.5,3800
5222,7757,Jason and the Argonauts,1963,APPROVED,104 min,Don Chaffey,"Jan Read (screenplay), Beverley Cross (screenplay)","Todd Armstrong, Nancy Kovack, Gary Raymond, Laurence Naismith",The legendary Greek hero leads a team of intrepid adventurers in a perilous quest for the legendary Golden Fleece.,7.4,18947
5223,7759,Nostalgia,1983,NOT RATED,125 min,Andrei Tarkovsky,"Andrei Tarkovsky (screenplay), Tonino Guerra (screenplay)","Oleg Yankovskiy, Erland Josephson, Domiziana Giordano, Patrizia Terreno",A Russian poet and his interpreter travel to Italy to research the life of an 18th-century composer.,8.2,15381
5224,7762,Tinker Tailor Soldier Spy,1979,TV-14,290 min,N/A,N/A,"Alec Guinness, Michael Jayston, Anthony Bate, George Sewell","In the bleak days of the Cold War, espionage veteran George Smiley is forced out of semi-retirement to uncover a Soviet agent within MI6's echelons.",8.6,5848
5225,7764,The Driller Killer,1979,NOT RATED,96 min,Abel Ferrara,Nicholas St. John (screenplay),"Abel Ferrara, Carolyn Marz, Baybi Day, Harry Schultz","An artist slowly goes insane while struggling to pay his bills, work on his paintings, and care for his two female roommates, which leads him taking to the streets of New York after dark and randomly killing derelicts with a power drill.",5,5200
5226,7766,Throne of Blood,1957,NOT RATED,110 min,Akira Kurosawa,"Hideo Oguni (screenplay), Shinobu Hashimoto (screenplay), Ryûzô Kikushima (screenplay), Akira Kurosawa (screenplay)","Toshirô Mifune, Isuzu Yamada, Takashi Shimura, Akira Kubo","A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",8.1,35356
5227,7767,The Best of Youth,2003,R,366 min,Marco Tullio Giordana,"Sandro Petraglia, Stefano Rulli","Luigi Lo Cascio, Alessio Boni, Sonia Bergamasco, Maya Sansa","An Italian epic that follows the lives of two brothers, from the 1960s to the 2000s.",8.5,17631
5228,7771,Zorba the Greek,1964,UNRATED,142 min,Mihalis Kakogiannis,"Nikos Kazantzakis (from the novel ""The Life and Times of Alexis Zorba""), Mihalis Kakogiannis (screenplay)","Anthony Quinn, Alan Bates, Irene Papas, Lila Kedrova",An uptight English writer traveling to Crete on a matter of business finds his life changed forever when he meets the gregarious Alexis Zorba.,7.8,16795
5229,7773,Bang Bang You're Dead,2002,R,93 min,Guy Ferland,William Mastrosimone,"Tom Cavanagh, Ben Foster, Randy Harrison, Janel Moloney","Trevor is a troubled high school student, thanks to the effects of bullying. This is the story of his fight to break free.",7.9,11549
5230,7774,My Side of the Mountain,1969,G,100 min,James B. Clark,"Joanna Crawford, Jean George (novel), Jane Klove, Ted Sherdeman","Ted Eccles, Theodore Bikel, Tudi Wiggins, Paul Hébert",As young Sam Gribley runs away he learns about nature.,6.7,797
5231,7782,Sniper,1993,R,98 min,Luis Llosa,"Michael Frost Beckner, Crash Leyland","Tom Berenger, Billy Zane, J.T. Walsh, Aden Young",A US Marine sniper is partnered with a SWAT member to take out rebel leaders in the jungles of Panama.,6.1,20446
5232,7786,Genghis Blues,1999,NOT RATED,88 min,Roko Belic,Roko Belic,"Richard Feynman, B.B. King, Kongar-ol Ondar, Paul Pena","San Francisco bluesman and composer, Paul Peña makes a musical pilgrimage to the land of Tuva.",8,1192
5233,7787,To Hell and Back,1955,APPROVED,106 min,Jesse Hibbs,"Gil Doud (written for the screen by), Audie Murphy (autobiography ""To Hell And Back"")","Audie Murphy, Marshall Thompson, Charles Drake, Jack Kelly","The true WWII story of Audie Murphy, the most decorated soldier in U.S. history. Based on the autobiography of Audie Murphy who stars as himself in the film.",7.4,4041
5234,7789,11-Sep,2002,UNRATED,134 min,"Youssef Chahine, Amos Gitai, Alejandro González Iñárritu, Shôhei Imamura, Claude Lelouch, Ken Loach, Samira Makhmalbaf, Mira Nair, Idrissa Ouedraogo, Sean Penn, Danis Tanovic","Alain Brigand (original idea), Youssef Chahine (segment), Sabrina Dhawan (segment), Amos Gitai (segment), Alejandro González Iñárritu (segment), Paul Laverty (segment), Claude Lelouch (adaptation), Claude Lelouch (dialogue), Claude Lelouch, Ken Loach (segment), Samira Makhmalbaf (segment), Idrissa Ouedraogo (segment), Sean Penn (segment), Marie-Jose Sanselme (segment), Danis Tanovic (segment), Daisuke Tengan (segment), Pierre Uytterhoeven (adaptation), Pierre Uytterhoeven (dialogue), Vladimir Vega (segment)","Maryam Karimi, Mohamad Dolati, Agelem Habibi, Esmat Vahedi",The effects of the 9/11 terrorist attacks are told from different points of view around the world.,7,5045
5235,7790,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980,G,75 min,"Bill Melendez, Phil Roman(co-director)","Charles M. Schulz (comic strip ""Peanuts""), Charles M. Schulz (creator), Charles M. Schulz","Daniel Anderson, Scott Beach, Casey Carlson, Debbie Muller",Charlie Brown and his friends travel to Europe as exchange students.,7.4,2199
5236,7791,Internal Affairs,1990,R,115 min,Mike Figgis,Henry Bean,"Richard Gere, Andy Garcia, Nancy Travis, Laurie Metcalf",An Internal Affairs agent becomes obsessed with bringing down a cop who has managed to maintain a spotless reputation despite being involved in a web of corruption.,6.5,14297
5237,7792,The Parallax View,1974,R,102 min,Alan J. Pakula,"David Giler, Lorenzo Semple Jr., Loren Singer (novel)","Warren Beatty, Paula Prentiss, William Daniels, Walter McGinn",An ambitious reporter gets in way-over-his-head trouble while investigating a senator's assassination which leads to a vast conspiracy involving a multinational corporation behind every event in the world's headlines.,7.2,12233
5238,7802,The Warriors,1979,R,92 min,Walter Hill,"Sol Yurick (novel), David Shaber (screenplay), Walter Hill (screenplay)","Michael Beck, James Remar, Dorsey Wright, Brian Tyler","In the near future, a charismatic leader summons the street gangs of New York City in a bid to take it over. When he is killed, The Warriors are falsely blamed and now must fight their way home while every other gang is hunting them down.",7.7,77988
5239,7809,Ambush,1999,N/A,123 min,Olli Saarela,"Olli Saarela, Antti Tuuri (novel), Antti Tuuri (screenplay)","Peter Franzén, Irina Björklund, Kari Heiskanen, Taisto Reimaluoto",Set during the World War 2. In the summer of 1941 the Finnish army crosses the border of Russia. A platoon led by Lt. Eero Perkola goes through the wilderness around the Lieksa lake to ...,6.8,3746
5240,7810,Babylon 5: A Call to Arms,1999,N/A,94 min,Michael Vejar,"J. Michael Straczynski (creator), J. Michael Straczynski","Bruce Boxleitner, Jerry Doyle, Jeff Conaway, Carrie Dobro","Allies of the Shadows seek revenge against humanity. This movie sets up the series, ""Crusade,"" the sequel to ""Babylon 5.""",7.2,4492
5241,7811,Babylon 5: The River of Souls,1998,N/A,94 min,Janet Greek,"J. Michael Straczynski (creator), J. Michael Straczynski","Jerry Doyle, Tracy Scoggins, Jeff Conaway, Richard Biggs",A group of Soul Hunters come to Babylon 5 demanding the return of something that was stolen from them.,6.6,3648
5242,7812,Babylon 5: Thirdspace,1998,N/A,94 min,Jesús Salvador Treviño,"J. Michael Straczynski (creator), J. Michael Straczynski","Bruce Boxleitner, Claudia Christian, Mira Furlan, Richard Biggs",The crew of Babylon 5 discover an ancient artifact floating in hyperspace.,6.9,4260
5243,7815,True Stories,1986,PG,90 min,David Byrne,"Stephen Tobolowsky, Beth Henley, David Byrne","David Byrne, John Goodman, Annie McEnroe, Jo Harvey Allen","A small but growing Texas town, filled with strange and musical characters, celebrates its sesquicentennial and converge on a local parade and talent show.",7,3895
5244,7817,Zardoz,1974,R,105 min,John Boorman,John Boorman,"Sean Connery, Charlotte Rampling, Sara Kestelman, John Alderton","In the distant future, a savage trained only to kill finds a way into the community of bored immortals that alone preserves humanity's achievements.",5.8,16180
5245,7818,School for Scoundrels,1960,APPROVED,94 min,"Robert Hamer, Hal E. Chester, Cyril Frankel","Stephen Potter (novels), Patricia Moyes (screenplay), Hal E. Chester (screenplay)","Ian Carmichael, Terry-Thomas, Alastair Sim, Janette Scott","Based on the Stephen Potter ""One Upmanship"" and ""Lifemanship"" books, Henry Palfrey tries hard to impress but always loses out to the rotter Delauney. Then he discovers the Lifeman college ...",7.5,2462
5246,7820,The Virgin Spring,1960,NOT RATED,89 min,Ingmar Bergman,Ulla Isaksson,"Max von Sydow, Birgitta Valberg, Gunnel Lindblom, Birgitta Pettersson","An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",8.1,20739
5247,7822,Mogambo,1953,APPROVED,116 min,John Ford,"John Lee Mahin (screenplay), Wilson Collison (play)","Clark Gable, Ava Gardner, Grace Kelly, Donald Sinden","On a Kenyan safari, white hunter Victor Marswell has a love triangle with seductive American socialite Eloise Kelly and anthropologist Donald Nordley's cheating wife Linda.",6.7,6249
5248,7826,The Secret Life of Walter Mitty,1947,APPROVED,110 min,Norman Z. McLeod,"Ken Englund (screen play), Everett Freeman (screen play), James Thurber (from a story by)","Danny Kaye, Virginia Mayo, Boris Karloff, Fay Bainter",A clumsy daydreamer gets caught up in a sinister conspiracy.,7.1,4810
5249,7827,Cypher,2002,R,95 min,Vincenzo Natali,Brian King,"Jeremy Northam, Lucy Liu, Nigel Bennett, Timothy Webber","An unsuspecting, disenchanted man finds himself working as a spy in the dangerous, high-stakes world of corporate espionage. Quickly getting way over-his-head, he teams up with a mysterious femme fatale.",6.8,28030
5250,7831,Another Thin Man,1939,PASSED,103 min,W.S. Van Dyke,"Frances Goodrich (screen play), Albert Hackett (screen play), Dashiell Hammett (based on an original story by)","William Powell, Myrna Loy, Virginia Grey, Otto Kruger",An explosives manufacturer suspects a young man is out to kill him. He calls in new parents Nick and Nora to sort things out.,7.5,5180
5251,7832,The Thin Man Goes Home,1945,APPROVED,100 min,Richard Thorpe,"Robert Riskin (screen play), Dwight Taylor (screen play), Robert Riskin (from an original story by), Harry Kurnitz (from an original story by), Dashiell Hammett (based on the characters created by)","William Powell, Myrna Loy, Lucile Watson, Gloria DeHaven","Nick and Nora visit Nick's hometown, and end up involved in a murder.",7.4,3943
5252,7833,Shadow of the Thin Man,1941,PASSED,97 min,W.S. Van Dyke,"Irving Brecher (screen play), Harry Kurnitz (screen play), Harry Kurnitz (from a story by), Dashiell Hammett (based upon characters created by)","William Powell, Myrna Loy, Barry Nelson, Donna Reed",Nick and Nora are at their wisecracking best as they investigate murder and racketeering at a local race track.,7.3,4279
5253,7834,After the Thin Man,1936,PASSED,112 min,W.S. Van Dyke,"Frances Goodrich (screen play), Albert Hackett (screen play), Dashiell Hammett (from the story by)","William Powell, Myrna Loy, James Stewart, Elissa Landi",Nick investigates the case of a missing man and later a murder that is connected to Nora's family.,7.7,7707
5254,7835,Song of the Thin Man,1947,NOT RATED,86 min,Edward Buzzell,"Steve Fisher (screen play), Nat Perrin (screen play), James O'Hanlon (additional dialogue), Harry Crane (additional dialogue), Stanley Roberts (story), Dashiell Hammett (based on the characters created by)","William Powell, Myrna Loy, Keenan Wynn, Dean Stockwell",Nick and Nora investigate the murder of a bandleader in New York.,7,3575
5255,7836,Woodstock,1970,R,184 min,Michael Wadleigh,N/A,"Richie Havens, Joan Baez, The Who, Sha-Na-Na",The film chronicle of the legendary 1969 music festival.,8.1,13629
5256,7840,Gunga Din,1939,APPROVED,117 min,George Stevens,"Joel Sayre (screen play), Fred Guiol (screen play), Ben Hecht (story), Charles MacArthur (story), Rudyard Kipling (poem)","Cary Grant, Victor McLaglen, Douglas Fairbanks Jr., Sam Jaffe","In 19th century India, three British soldiers and a native waterbearer must stop a secret mass revival of the murderous Thuggee cult before it can rampage across the land.",7.5,9400
5257,7841,Children of Dune,2003–,UNRATED,266 min,N/A,N/A,"Alec Newman, Julie Cox, Ian McNeice, Steven Berkoff","The twins of Paul ""Muad'dib"" Atreides become embroiled in the political landscape of Arrakis (""Dune"") and the rest of the universe.",7.6,10431
5258,7842,Dune,2000–,UNRATED,265 min,N/A,N/A,"William Hurt, Alec Newman, Saskia Reeves, P.H. Moriarty","A three-part miniseries on politics, betrayal, lust, greed and the coming of a Messiah. Based on Frank Herbert's classic science fiction novel.",7.1,15620
5259,7843,Lammbock,2001,N/A,93 min,Christian Zübert,Christian Zübert,"Lucas Gregorowicz, Moritz Bleibtreu, Marie Zielcke, Julian Weigend","Stefan and Kai have good going business, self-grown cannabis screened as pizza delivering service. For now they only have to deal with aphids.",7.4,9365
5260,7844,The Legend,1993,R,100 min,Corey Yuen,"Kin Chung Chan, Susan Godfrey (english adaptation), Jeffrey Lau, Jack Maeby (english adaptation), Kevin Tsai","Jet Li, Josephine Siao, Michelle Reis, Sibelle Hu",This Hong Kong martial-arts extravaganza tells of evil emperors and true love. The secret Red Lotus Flower Society is committed to the overthrow of the evil Manchu Emperor and his minions. ...,7.2,6407
5261,7845,Tremors II: Aftershocks,1996,PG-13,100 min,S.S. Wilson,"Brent Maddock (characters), S.S. Wilson (characters), Ron Underwood (characters), Brent Maddock, S.S. Wilson","Fred Ward, Chris Gartin, Helen Shaver, Michael Gross","Battling a life depression, Earl Bassett is offered a job as a mercenary to help a Mexican oil company with a Graboid epidemic that's killing more people each day. However, the humans aren't the only ones with a new battle plan..",5.9,21048
5262,7846,Tremors 3: Back to Perfection,2001,PG,104 min,Brent Maddock,"S.S. Wilson (story), Brent Maddock (story), Nancy Roberts (story), John Whelpley (teleplay)","Michael Gross, Shawn Christian, Susan Chuang, Charlotte Stewart","The now famous Burt Gummer returns to his hometown of Perfection, Nevada for the first time in years, but the deadliest Graboid evolution yet forces him to save the town he swore to protect.",5.4,12968
5263,7872,Getting It Right,1989,R,102 min,Randal Kleiser,Elizabeth Jane Howard (screenplay),"Jesse Birdsall, Jane Horrocks, Helena Bonham Carter, Pat Heywood",Gavin is 31 years old and still lives with his parents. He is awfully shy but before he knows it there are three women interested in him. Lady Minerva Munday has a casual way of life and ...,6.5,578
5264,7878,Straight to Hell,1987,R,86 min,Alex Cox,"Alex Cox, Dick Rude","Dick Rude, Sy Richardson, Courtney Love, Joe Strummer","A gang of bank robbers with a suitcase full of money go to the desert to hide out. After burying the loot, they find their way to a surreal town full of cowboys who drink an awful lot of ...",5.8,1926
5265,7881,White Zombie,1932,PASSED,69 min,Victor Halperin,"Garnett Weston (story), Garnett Weston (dialogue)","Bela Lugosi, Madge Bellamy, Joseph Cawthorn, Robert Frazer","A young man turns to a witch doctor to lure the woman he loves away from her fiancé, but instead turns her into a zombie slave.",6.4,7352
5266,7882,The Plague of the Zombies,1966,APPROVED,90 min,John Gilling,Peter Bryan (screenplay),"André Morell, Diane Clare, Brook Williams, Jacqueline Pearce",Young workers are dying because of a mysterious epidemic in a little village in Cornwall. Doctor Thompson is helpless and asks professor James Forbes for help. The professor and his ...,6.7,3484
5267,7883,I Walked with a Zombie,1943,APPROVED,69 min,Jacques Tourneur,"Curt Siodmak (screenplay), Ardel Wray (screenplay), Inez Wallace (original story)","James Ellison, Frances Dee, Tom Conway, Edith Barrett","A Canadian nurse is hired to care for the wife of a sugar plantation owner, who has been acting strangely, on a Caribbean island.",7.2,8650
5268,7888,How to Succeed in Business Without Really Trying,1967,APPROVED,121 min,David Swift,"Abe Burrows (book), Jack Weinstock (book), Willie Gilbert (book), Shepherd Mead (novel), David Swift","Robert Morse, Michele Lee, Rudy Vallee, Anthony 'Scooter' Teague","Armed with the titular manual, an ambitious window washer seeks to climb the corporate ladder.",7.3,3645
5269,7889,Pat Garrett & Billy the Kid,1973,R,122 min,Sam Peckinpah,Rudy Wurlitzer,"James Coburn, Kris Kristofferson, Richard Jaeckel, Katy Jurado",An aging Pat Garrett is hired as a lawman on behalf of a group of wealthy New Mexico cattle barons--his sole purpose being to bring down his old friend Billy the Kid.,7.4,14671
5270,7892,The Street Fighter,1974,X,91 min,Shigehiro Ozawa,"Steve Autrey (english version), Kôji Takada (screenplay), Motohiro Torii (screenplay)","Shin'ichi Chiba, Etsuko Shiomi, Goichi Yamada, Fumio Watanabe",Tough karate master Terry Tsurugi takes it upon himself to protect a late businessman's daughter from the Yakuza.,7.1,3881
5271,7894,"Duck, You Sucker",1971,PG,138 min,Sergio Leone,"Sergio Leone (story), Sergio Donati (story), Luciano Vincenzoni (screenplay), Sergio Donati (screenplay), Sergio Leone (screenplay), Roberto De Leonardis (dialogue adaptation), Carlo Tritto (dialogue adaptation)","Rod Steiger, James Coburn, Romolo Valli, Maria Monti",An I.R.A. explosives expert on the run in Mexico meets an amoral Mexican bandit; together they are drawn into the Mexican revolution.,7.7,23616
5272,7895,Bring Me the Head of Alfredo Garcia,1974,R,112 min,Sam Peckinpah,"Frank Kowalski (story), Sam Peckinpah (story), Sam Peckinpah (screenplay), Gordon T. Dawson (screenplay)","Warren Oates, Isela Vega, Robert Webber, Gig Young",An American bartender and his prostitute girlfriend go on a road trip through the Mexican underworld to collect a $1 million bounty on the head of a dead gigolo.,7.5,15023
5273,7897,The Ballad of Cable Hogue,1970,R,121 min,Sam Peckinpah,"John Crawford, Edmund Penney","Jason Robards, Stella Stevens, David Warner, Strother Martin","A hobo accidentally stumbles onto a water spring, and creates a profitable way station in the middle of the desert.",7.3,6881
5274,7899,Master of the Flying Guillotine,1976,R,81 min,Yu Wang,Yu Wang,"Yu Wang, Kang Chin, Chung-Erh Lung, Chia Yung Liu","After his students are killed by the One Armed Boxer, a vengeful and blind Kung Fu expert travels to a village where a martial arts contest is being held and vows to behead every one armed man he comes across.",7.6,3555
5275,7914,Berlin: Symphony of a Great City,1927,N/A,65 min,Walter Ruttmann,"Karl Freund (screenplay), Carl Mayer (idea), Walter Ruttmann (screenplay)",Paul von Hindenburg,"This movie shows us one day in Berlin, the rhythm of that time, starting at the earliest morning and ends in the deepest night.",7.7,3090
5276,7915,Samurai Fiction,1998,N/A,111 min,Hiroyuki Nakano,"Hiroyuki Nakano, Hiroshi Saitô","Morio Kazama, Mitsuru Fukikoshi, Tomoyasu Hotei, Tamaki Ogawa",A noble young samurai searches for a thief who has stolen a precious treasure and killed one of his clansmen and meets an older samurai who tries to deter him from the violence of revenge.,7.3,2412
5277,error,error,error,error,error,error,error,error,error,error,error
5278,7919,Drunken Angel,1948,UNRATED,102 min,Akira Kurosawa,"Keinosuke Uekusa, Akira Kurosawa","Takashi Shimura, Toshirô Mifune, Reizaburô Yamamoto, Michiyo Kogure",A drunken doctor with a hot temper and a violence-prone gangster with tuberculosis form a quicksilver bond.,7.8,7618
5279,7920,Desperate Living,1977,N/A,90 min,John Waters,John Waters,"Liz Renay, Mink Stole, Susan Lowe, Edith Massey","A neurotic society woman murders her husband with the help of her maid and, on the lam, escape to Mortville, a homeless community ruled over by a fascist queen.",7.2,3972
5280,7921,The Devil's Rain,1975,PG,86 min,Robert Fuest,"Gabe Essoe, James Ashton, Gerald Hopman","Ernest Borgnine, Eddie Albert, Ida Lupino, William Shatner",A bunch of Satanists in the American rural landscape have terrible powers which enable them to melt their victims. However one of the children of an earlier victim vows to destroy them.,4.7,2407
5281,7922,The Valachi Papers,1972,R,125 min,Terence Young,"Stephen Geller (screenplay), Peter Maas (novel)","Charles Bronson, Lino Ventura, Jill Ireland, Walter Chiari","When Joe Valachi (Charles Bronson) has a price put on his head by Don Vito Genovese (Lino Ventura), he must take desperate steps to protect himself while in prison. An unsuccessful attempt ...",6.6,2255
5282,7924,Stray Dog,1949,NOT RATED,122 min,Akira Kurosawa,"Ryûzô Kikushima, Akira Kurosawa","Toshirô Mifune, Takashi Shimura, Keiko Awaji, Eiko Miyoshi","During a sweltering summer, a rookie homicide detective tries to track down his stolen Colt pistol.",7.9,11999
5283,7925,The Hidden Fortress,1958,NOT RATED,126 min,Akira Kurosawa,"Ryûzô Kikushima, Hideo Oguni, Shinobu Hashimoto, Akira Kurosawa","Toshirô Mifune, Minoru Chiaki, Kamatari Fujiwara, Susumu Fujita","Lured by gold, two greedy peasants escort a man and woman across enemy lines. However, they do not realize that their companions are actually a princess and her general.",8.1,26500
5284,7926,High and Low,1963,NOT RATED,143 min,Akira Kurosawa,"Hideo Oguni (screenplay), Ryûzô Kikushima (screenplay), Eijirô Hisaita (screenplay), Akira Kurosawa (screenplay), Evan Hunter (novel)","Toshirô Mifune, Tatsuya Nakadai, Kyôko Kagawa, Tatsuya Mihashi",An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,8.4,20354
5285,7932,Dark Days,2000,NOT RATED,82 min,Marc Singer,N/A,Marc Singer,A cinematic portrait of the homeless population who live permanently in the underground tunnels of New York City.,7.8,5765
5286,7934,Zelig,1983,PG,79 min,Woody Allen,Woody Allen,"Woody Allen, Mia Farrow, Patrick Horgan, John Buckwalter","""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people.",7.8,34498
5287,7935,Face to Face,1976,R,114 min,Ingmar Bergman,Ingmar Bergman,"Liv Ullmann, Erland Josephson, Aino Taube, Gunnar Björnstrand",A sensitive exploration of the tragic irony of the psychiatrist suffering with mental illness. Dr. Jenny Isaksson is a psychiatrist married to another psychiatrist; both are successful in ...,7.7,3746
5288,7936,Shame,1968,R,103 min,Ingmar Bergman,Ingmar Bergman,"Liv Ullmann, Max von Sydow, Sigge Fürst, Gunnar Björnstrand","In the midst of a civil war, former violinists Jan and Eva Rosenberg, who have a tempestuous marriage, run a farm on a rural island. In spite of their best efforts to escape their homeland, the war impinges on every aspect of their lives.",8.1,8807
5289,7938,Winter Light,1963,NOT RATED,81 min,Ingmar Bergman,Ingmar Bergman,"Ingrid Thulin, Gunnar Björnstrand, Gunnel Lindblom, Max von Sydow",A small town priest struggles with his faith.,8.1,15737
5290,7939,Through a Glass Darkly,1961,NOT RATED,89 min,Ingmar Bergman,Ingmar Bergman,"Harriet Andersson, Gunnar Björnstrand, Max von Sydow, Lars Passgård","Recently released from a mental hospital; Karin rejoins her emotionally disconnected family and their island home, only to slip from reality as she begins to believe she is being visited by God.",8.1,17044
5291,7941,Smiles of a Summer Night,1955,PASSED,108 min,Ingmar Bergman,Ingmar Bergman,"Ulla Jacobsson, Eva Dahlbeck, Harriet Andersson, Margit Carlqvist","In Sweden at the turn of the century, members of the upper class and their servants find themselves in a romantic tangle that they try to work out amidst jealousy and heartbreak.",7.9,9702
5292,7942,Summer with Monika,1953,R,96 min,Ingmar Bergman,Per Anders Fogelström (screenplay),"Harriet Andersson, Lars Ekborg, Dagmar Ebbesen, Åke Fridell","A pair of teenagers meet one summer day, start a reckless affair and abandon their families to be with one another.",7.6,8800
5293,7943,The Killers,1946,NOT RATED,103 min,Robert Siodmak,"Anthony Veiller (screenplay), Ernest Hemingway (from the story by)","Burt Lancaster, Ava Gardner, Edmond O'Brien, Albert Dekker","Hit men kill an unresisting victim, and investigator Reardon uncovers his past involvement with beautiful, deadly Kitty Collins.",7.8,15353
5294,7944,The Night of the Iguana,1964,APPROVED,125 min,John Huston,"Tennessee Williams (play), Anthony Veiller (screenplay), John Huston (screenplay)","Richard Burton, Ava Gardner, Deborah Kerr, Sue Lyon",A defrocked Episcopal clergyman leads a bus-load of middle-aged Baptist women on a tour of the Mexican coast and comes to terms with the failure haunting his life.,7.8,9064
5295,7946,Reflections in a Golden Eye,1967,NOT RATED,108 min,John Huston,"Chapman Mortimer (screenplay), Gladys Hill (screenplay), Carson McCullers (novel)","Elizabeth Taylor, Marlon Brando, Brian Keith, Julie Harris","Bizarre tale of sex, betrayal, and perversion at a military post.",7,5140
5296,7947,Under the Volcano,1984,R,112 min,John Huston,"Malcolm Lowry (novel), Guy Gallo (screenplay)","Albert Finney, Jacqueline Bisset, Anthony Andrews, Ignacio López Tarso","The last 24 hours in the life of Geoffrey Firmin, a lonely, depressed English consul who retreats to alcohol for solace.",7.1,3880
5297,7948,Wise Blood,1979,PG,106 min,John Huston,"Flannery O'Connor (novel), Benedict Fitzgerald (screenplay), Michael Fitzgerald (screenplay)","Brad Dourif, John Huston, Dan Shor, Harry Dean Stanton","A Southerner--young, poor, ambitious but uneducated--determines to become something in the world. He decides that the best way to do that is to become a preacher and start up his own church.",7.2,4025
5298,7951,Nightbreed,1990,R,102 min,Clive Barker,"Clive Barker (novel), Clive Barker (screenplay)","Craig Sheffer, Anne Bobby, David Cronenberg, Charles Haid",A troubled young man is drawn to a mythical place called Midian where a variety of monsters are hiding from humanity.,6.5,15761
5299,7958,Bloody Mama,1970,R,90 min,Roger Corman,"Don Peters (story), Robert Thom (screenplay), Robert Thom (story)","Shelley Winters, Pat Hingle, Don Stroud, Diane Varsi",A psychological gangster film based on fact. Machine gun totin' Ma Barker lead her family gang (her sons) on a crime spree in the Depression era. Her loyal brood have every perversion ...,5.6,2483
5300,7959,The Trip,1967,NOT RATED,82 min,Roger Corman,Jack Nicholson,"Peter Fonda, Susan Strasberg, Bruce Dern, Dennis Hopper","After his wife leaves him, a disillusioned director dives into the drug scene, trying anything his friend suggests.",6.1,3649
5301,7976,Ken Park,2002,NOT RATED,93 min,"Larry Clark, Edward Lachman","Harmony Korine (screenplay), Larry Clark (based on stories and characters by)","Adam Chubbuck, James Bullard, Seth Gray, Eddie Daniels",Ken Park is about several Californian skateboarders' lives and relationships with and without their parents.,5.9,26285
5302,7979,Monterey Pop,1968,NOT RATED,78 min,D.A. Pennebaker,N/A,"Scott McKenzie, Denny Doherty, Cass Elliot, John Phillips",A film about the greatest pre-Woodstock rock music festival.,8.1,2561
5303,7980,A Bridge Too Far,1977,PG,175 min,Richard Attenborough,"Cornelius Ryan (book), William Goldman (screenplay)","Siem Vroom, Marlies van Alcmaer, Erik van 't Wout, Wolfgang Preiss","Operation Market Garden, September 1944: The Allies attempt to capture several strategically important bridges in the Netherlands in the hope of breaking the German lines. However, mismanagement and poor planning result in its failure.",7.4,43473
5304,7981,Infernal Affairs,2002,R,101 min,"Wai-Keung Lau, Alan Mak","Alan Mak, Felix Chong","Andy Lau, Tony Chiu-Wai Leung, Anthony Chau-Sang Wong, Eric Tsang","A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",8.1,100386
5305,7982,A Tale of Two Sisters,2003,R,115 min,Jee-woon Kim,Jee-woon Kim (screenplay),"Kap-su Kim, Jung-ah Yum, Soo-jung Lim, Geun-young Moon",A family is haunted by the tragedies of deaths within the family.,7.2,46785
5306,7983,Broadway Danny Rose,1984,PG,84 min,Woody Allen,Woody Allen,"Woody Allen, Mia Farrow, Nick Apollo Forte, Sandy Baron","In his attempts to reconcile a lounge singer with his mistress, a hapless talent agent is mistaken as her lover by a jealous gangster.",7.5,20150
5307,7984,From Beyond,1986,R,86 min,Stuart Gordon,"H.P. Lovecraft (short story), Brian Yuzna (adaptation), Dennis Paoli (adaptation), Stuart Gordon (adaptation), Dennis Paoli (screenplay)","Jeffrey Combs, Barbara Crampton, Ted Sorel, Ken Foree","A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms.",6.7,17015
